ID,Reviews
21,"Poor service, the complaints were not heard even after serveral calls."
21,"They are very friendly and totally service-minded, they strive to address all your inquiries. They deliver in time and let you know before confirming your order if there is a possibility of delay."
22,My product is still in warranty but my complaints are not being serviced at all. Would not recommend at all due to its poor customer service.
23,"Whole procedure was very smooth and efficient,  the defect in the laptop was removed totally."
23,Good work. fast delivery. very good customer service response
23,Am very satisfied with laptops warranty service and even bought extended warranty at affordable price.
24,I am a happy customer because of the good service provided after sale.
24,"Poor service, the complaints were not heard even after serveral calls."
24,"They are very friendly and totally service-minded, they strive to address all your inquiries. They deliver in time and let you know before confirming your order if there is a possibility of delay."
25,Arrived the following day - no hassle. Good service
25,I m very happy with the service even after during warranty.
25,"With a modern design and phenomenal battery life, this is the best business laptop yet."
26,It offers serious power and nearly 12 hours of battery life in an attractive chassis.
26,Dont even think about buying it. Bad service provided to customers.
26,Laptop keeps crashing. Tried contacting support system but no response came. Poor service.
27,"Whole procedure was very smooth and efficient,  the defect in the laptop was removed totally."
27,It was in warranty period still the complaints were not entertained. Poor service
27,After sale service is very poor. The technician did not understand the problem at all.
27,I would recommend all of you to buy the extended warranty offered at the purchase of the product. Its very useful plus the customer service is great.
28,They have great customer service. They try to resolve the queries and complaints. Would recommend to all because of its customer service.
28,Dont even think about buying it. Bad service provided to customers.
28,"I m very much satisfied with laptop,fine touch screen,keyboard very sleek,video quality up to the mark,works very well for writing taking notes,browsing is very fast"
29,Would not recommend it to anyone. Customer service is poor and all complaints go unheard.
29,"Poor service, the complaints were not heard even after serveral calls."
29,Am very satisfied with laptops warranty service and even bought extended warranty at affordable price.
